fdc_id,NDB_number,fdc_id,data_type,description,food_category_id,publication_date
167512,18634,167512,sr_legacy_food,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",18,2019-04-01
167513,18635,167513,sr_legacy_food,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",18,2019-04-01
167514,18637,167514,sr_legacy_food,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",18,2019-04-01
167515,18639,167515,sr_legacy_food,"George Weston Bakeries, Thomas English Muffins",18,2019-04-01
167516,18932,167516,sr_legacy_food,"Waffles, buttermilk, frozen, ready-to-heat",18,2019-04-01
167517,18933,167517,sr_legacy_food,"Waffle, buttermilk, frozen, ready-to-heat, toasted",18,2019-04-01
167518,18934,167518,sr_legacy_food,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",18,2019-04-01
167519,18935,167519,sr_legacy_food,"Waffle, plain, frozen, ready-to-heat, microwave",18,2019-04-01
167520,18942,167520,sr_legacy_food,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",18,2019-04-01
167521,18943,167521,sr_legacy_food,"Pie Crust, Cookie-type, Chocolate, Ready Crust",18,2019-04-01
167522,18944,167522,sr_legacy_food,"Pie, Dutch Apple, Commercially Prepared",18,2019-04-01
167523,18945,167523,sr_legacy_food,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",18,2019-04-01
167524,18951,167524,sr_legacy_food,"Waffles, chocolate chip, frozen, ready-to-heat",18,2019-04-01
167525,18952,167525,sr_legacy_food,"Tostada shells, corn",18,2019-04-01
167526,18953,167526,sr_legacy_food,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",18,2019-04-01
167527,18954,167527,sr_legacy_food,"Bread, pound cake type, pan de torta salvadoran",18,2019-04-01
167528,18959,167528,sr_legacy_food,"Pastry, Pastelitos de Guava (guava pastries)",18,2019-04-01
167529,18960,167529,sr_legacy_food,"Crackers, snack, Goya Crackers",18,2019-04-01
167530,18961,167530,sr_legacy_food,"Crackers, cream, Gamesa Sabrosas",18,2019-04-01
167531,18962,167531,sr_legacy_food,"Crackers, cream, La Moderna Rikis Cream Crackers",18,2019-04-01
167532,18967,167532,sr_legacy_food,"Bread, white wheat",18,2019-04-01
167533,18968,167533,sr_legacy_food,"Bagels, wheat",18,2019-04-01
167534,18969,167534,sr_legacy_food,"Cream puff, eclair, custard or cream filled, iced",18,2019-04-01
167535,18970,167535,sr_legacy_food,"Tortillas, ready-to-bake or -fry, flour, shelf stable",18,2019-04-01
167536,19002,167536,sr_legacy_food,"Snacks, beef jerky, chopped and formed",23,2019-04-01
167537,19003,167537,sr_legacy_food,"Snacks, corn-based, extruded, chips, plain",23,2019-04-01
167538,19004,167538,sr_legacy_food,"Snacks, corn-based, extruded, chips, barbecue-flavor",23,2019-04-01
167539,19005,167539,sr_legacy_food,"Snacks, corn-based, extruded, cones, plain",23,2019-04-01
167540,19013,167540,sr_legacy_food,"Snacks, fruit leather, pieces",19,2019-04-01
167541,19014,167541,sr_legacy_food,"Snacks, fruit leather, rolls",19,2019-04-01
167542,19015,167542,sr_legacy_food,"Snacks, granola bars, hard, plain",23,2019-04-01
167543,19016,167543,sr_legacy_food,"Snacks, granola bars, hard, almond",23,2019-04-01
167544,19022,167544,sr_legacy_food,"Snacks, granola bars, soft, uncoated, raisin",23,2019-04-01
167545,19024,167545,sr_legacy_food,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",23,2019-04-01
167546,19025,167546,sr_legacy_food,"Candies, honey-combed, with peanut butter",19,2019-04-01
167547,19026,167547,sr_legacy_food,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",23,2019-04-01
167548,19027,167548,sr_legacy_food,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",23,2019-04-01
167549,19035,167549,sr_legacy_food,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",23,2019-04-01
167550,19036,167550,sr_legacy_food,"Snacks, popcorn, cakes",23,2019-04-01
167551,19038,167551,sr_legacy_food,"Snacks, popcorn, caramel-coated, with peanuts",23,2019-04-01
167552,19039,167552,sr_legacy_food,"Snacks, popcorn, caramel-coated, without peanuts",23,2019-04-01
167553,19045,167553,sr_legacy_food,"Snacks, potato chips, made from dried potatoes, reduced fat",23,2019-04-01
167554,19046,167554,sr_legacy_food,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",23,2019-04-01
167555,19047,167555,sr_legacy_food,"Snacks, pretzels, hard, plain, salted",23,2019-04-01
167556,19048,167556,sr_legacy_food,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",23,2019-04-01
167557,19053,167557,sr_legacy_food,"Snacks, rice cakes, brown rice, sesame seed",23,2019-04-01
167558,19056,167558,sr_legacy_food,"Snacks, tortilla chips, plain, white corn, salted",23,2019-04-01
167559,19057,167559,sr_legacy_food,"Snacks, tortilla chips, nacho cheese",23,2019-04-01
167560,19058,167560,sr_legacy_food,"Snacks, tortilla chips, ranch-flavor",23,2019-04-01
167561,19059,167561,sr_legacy_food,"Snacks, trail mix, regular",23,2019-04-01
167562,19065,167562,sr_legacy_food,"Candies, ALMOND JOY Candy Bar",19,2019-04-01
167563,19067,167563,sr_legacy_food,"Candies, TWIZZLERS CHERRY BITES",19,2019-04-01
167564,19068,167564,sr_legacy_food,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",19,2019-04-01
167565,19069,167565,sr_legacy_food,"Candies, NESTLE, BUTTERFINGER Bar",19,2019-04-01
167566,19076,167566,sr_legacy_food,"Candies, caramels, chocolate-flavor roll",19,2019-04-01
167567,19077,167567,sr_legacy_food,"Baking chocolate, unsweetened, liquid",19,2019-04-01
167568,19078,167568,sr_legacy_food,"Baking chocolate, unsweetened, squares",19,2019-04-01
167569,19079,167569,sr_legacy_food,"Candies, confectioner's coating, yogurt",19,2019-04-01
167570,19086,167570,sr_legacy_food,"Candies, confectioner's coating, peanut butter",19,2019-04-01
167571,19087,167571,sr_legacy_food,"Candies, white chocolate",19,2019-04-01
167572,19088,167572,sr_legacy_food,"Ice creams, vanilla, light",19,2019-04-01
167573,19089,167573,sr_legacy_food,"Ice creams, vanilla, rich",19,2019-04-01
167574,19094,167574,sr_legacy_food,"Desserts, flan, caramel custard, prepared-from-recipe",19,2019-04-01
167575,19095,167575,sr_legacy_food,"Ice creams, vanilla",19,2019-04-01
167576,19096,167576,sr_legacy_food,"Ice creams, vanilla, light, soft-serve",19,2019-04-01
167577,19097,167577,sr_legacy_food,"Sherbet, orange",19,2019-04-01
167578,19102,167578,sr_legacy_food,"Candies, fudge, peanut butter, prepared-from-recipe",19,2019-04-01
167579,19103,167579,sr_legacy_food,"Candies, fudge, vanilla, prepared-from-recipe",19,2019-04-01
167580,19104,167580,sr_legacy_food,"Candies, fudge, vanilla with nuts",19,2019-04-01
167581,19105,167581,sr_legacy_food,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",19,2019-04-01
167582,19111,167582,sr_legacy_food,"Candies, NESTLE, BABY RUTH Bar",19,2019-04-01
167583,19112,167583,sr_legacy_food,"Candies, TWIZZLERS Strawberry Twists Candy",19,2019-04-01
167584,19113,167584,sr_legacy_food,"Syrups, table blends, pancake, with butter",19,2019-04-01
167585,19114,167585,sr_legacy_food,"Ice creams, chocolate, light",19,2019-04-01
167586,19119,167586,sr_legacy_food,"Candies, NESTLE, CHUNKY Bar",19,2019-04-01
167587,19120,167587,sr_legacy_food,"Candies, milk chocolate",19,2019-04-01
167588,19121,167588,sr_legacy_food,"Puddings, banana, dry mix, instant, prepared with 2% milk",19,2019-04-01
167589,19122,167589,sr_legacy_food,"Puddings, banana, dry mix, regular, prepared with 2% milk",19,2019-04-01
167590,28354,167590,sr_legacy_food,"Andrea's, Gluten Free Soft Dinner Roll",18,2019-04-01
167591,28355,167591,sr_legacy_food,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",18,2019-04-01
167592,28356,167592,sr_legacy_food,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",18,2019-04-01
167593,28357,167593,sr_legacy_food,"Glutino, Gluten Free Cookies, Vanilla Creme",18,2019-04-01
167594,28363,167594,sr_legacy_food,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",18,2019-04-01
167595,28364,167595,sr_legacy_food,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",18,2019-04-01
167596,28365,167596,sr_legacy_food,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",18,2019-04-01
167597,28366,167597,sr_legacy_food,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",18,2019-04-01
167598,28371,167598,sr_legacy_food,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",18,2019-04-01
167599,28372,167599,sr_legacy_food,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",18,2019-04-01
167600,28373,167600,sr_legacy_food,"Udi's, Gluten Free, Whole Grain Dinner Rolls",18,2019-04-01
167601,28374,167601,sr_legacy_food,"Van's, Gluten Free, Totally Original Pancakes",18,2019-04-01
167602,31019,167602,sr_legacy_food,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",11,2019-04-01
167603,31020,167603,sr_legacy_food,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",11,2019-04-01
167604,31021,167604,sr_legacy_food,"Potatoes, hash brown, refrigerated, unprepared",11,2019-04-01
